name,common,ra_deg,dec_deg,major_arcmin,type,minor_arcmin,pos_angle,messier
IC0172,,28.725958,0.811222,0.48,G,0.37,95,
IC0173,,28.988125,1.285167,0.92,G,0.72,90,
IC0174,,29.067000,3.761861,1.49,G,0.99,97,
IC0175,,29.078583,1.332417,0.52,G,0.46,9,
IC0176,,29.222500,-2.018972,1.78,G,0.38,94,
IC0177,,29.252417,-0.089861,0.51,G,0.47,11,
IC0178,,29.728625,36.674694,0.94,G,0.79,159,
IC0179,,30.047917,38.021333,1.12,G,0.90,111,
IC0180,,30.001708,23.604333,0.83,G,0.34,150,
IC0181,,30.009708,23.658639,0.57,G,0.49,55,
IC0182,,29.965875,7.411833,1.06,G,0.70,36,
IC0183,,29.891875,-5.347139,1.19,G,0.37,98,
IC0184,,29.963458,-6.840389,1.12,G,0.59,178,
IC0185,,30.025167,-1.528333,0.79,G,0.33,82,
IC0186,,30.102083,-1.551722,1.10,GTrpl,,,
IC0186A,,30.100000,-1.552861,1.21,G,0.76,33,
IC0186B,,30.106042,-1.549806,0.69,G,0.47,0,
IC0186 NED03,,30.105833,-1.550833,0.25,G,0.20,101,
IC0187,,30.378167,26.480972,2.23,G,0.73,70,
IC0188,,30.443750,26.546889,0.54,G,0.28,46,
IC0189,,30.470458,23.551500,0.78,G,0.67,86,
IC0190,,30.530333,23.549833,0.25,G,0.20,95,
IC0192,,30.634958,16.014167,0.95,G,0.67,148,
IC0193,,30.629083,11.093083,1.36,G,0.97,154,
IC0194,,30.771750,2.614250,1.85,G,0.33,14,
IC0195,,30.935875,14.709278,1.46,G,0.72,135,
IC0196,,30.957500,14.739139,2.47,G,0.67,9,
IC0197,,31.020542,2.786833,1.01,G,0.53,54,
IC0198,,31.513000,9.295556,1.01,G,0.56,51,
IC0199,,31.580833,9.227417,1.28,G,0.56,24,
IC0200,,31.361000,31.175333,1.38,G,1.06,92,
IC0201,,31.813708,9.115056,0.54,G,0.50,60,
IC0202,,31.869417,9.168306,1.35,G,0.36,131,
IC0203,,31.873542,9.122639,0.60,G,0.51,10,
IC0204,,31.862833,-1.430194,0.55,G,0.36,155,
IC0205,,31.864292,-2.091278,0.92,G,0.82,40,
IC0206,,32.377833,-6.968389,1.22,G,0.39,130,
IC0207,,32.413958,-6.922194,1.81,G,0.45,98,
IC0208,,32.115583,6.394917,1.32,G,1.13,168,
IC0209,,32.244625,-7.058917,1.51,G,1.03,82,
IC0210,,32.367833,-9.680333,2.35,G,0.65,66,
IC0211,,32.783333,3.852500,1.66,G,0.76,56,
IC0212,,33.409417,16.593944,0.79,G,0.54,84,
IC0213,,33.517833,16.455889,1.43,G,1.01,148,
IC0214,,33.523292,5.173250,0.58,G,0.45,65,
IC0215,,33.539417,-6.806333,0.84,G,0.19,78,
IC0216,,33.981333,-2.015111,0.50,G,0.32,25,
IC0217,,34.043500,-11.926722,2.00,G,0.45,35,
IC0218,,34.280208,1.282333,0.91,G,0.30,75,
IC0219,,34.661792,-6.903333,1.56,G,1.19,177,
IC0220,,34.798875,-12.781639,0.67,G,0.32,34,
IC0221,,35.670417,28.256972,1.54,G,1.19,16,
IC0222,,35.699375,11.638333,0.84,G,0.65,42,
IC0223,,35.504583,-20.745917,1.15,G,0.59,143,
IC0224,,36.188083,-12.564472,0.86,G,0.59,130,
IC0225,,36.617875,1.160528,1.01,G,0.90,158,
IC0226,,36.941375,28.208833,0.81,G,0.72,55,
IC0227,,37.015042,28.175333,2.01,G,1.77,80,
IC0229,,36.842042,-23.813000,,Other,,,
IC0230,,37.197042,-10.831361,0.64,G,0.42,87,
IC0231,,37.484958,1.179083,0.74,G,0.33,162,
IC0232,,37.798417,1.265639,1.10,G,0.67,154,
IC0233,,37.919583,2.809917,0.33,G,0.26,100,
IC0234,,37.907167,-0.140250,0.69,G,0.35,158,
IC0235,,38.211625,20.641250,0.39,G,0.30,35,
IC0236,,38.232542,-0.131250,0.74,G,0.37,23,
IC0237,,38.381542,1.139889,0.54,G,0.51,11,
IC0238,,38.844500,12.837722,1.38,G,0.79,35,
IC0239,,39.116167,38.969917,4.25,G,4.01,75,
IC0240,,39.744042,41.719417,,Other,,,
IC0241,,39.477083,2.328028,0.90,G,0.59,152,
IC0242,,39.599708,-6.933944,,**,,,
IC0243,,39.634000,-6.902139,1.22,G,0.70,20,
IC0244,,39.853042,2.728806,0.70,G,0.47,176,
IC0245,,39.727667,-14.305556,1.11,G,0.29,25,
IC0246,,40.119167,2.478639,0.69,G,0.61,48,
IC0247,,40.036583,-11.733778,0.88,G,0.64,45,
IC0248,,40.357625,17.812222,0.99,G,0.74,147,
IC0250,,40.226125,-13.313556,0.91,G,0.73,178,
IC0251,,40.307708,-14.957833,0.84,G,0.74,96,
IC0252,,40.438042,-14.848250,1.01,G,0.62,26,
IC0253,,40.523958,-15.046833,0.95,G,0.74,162,
IC0254,,40.520750,-15.106639,0.26,G,0.25,55,
IC0255,,41.763375,16.288028,0.59,G,0.40,45,
IC0256,,42.417917,46.954667,0.46,G,0.29,30,
IC0257,,42.439333,46.976194,1.93,G,1.19,154,
IC0258,,42.442083,41.051667,1.48,G,1.23,170,
IC0259,,42.420333,41.055111,0.69,G,0.53,130,
IC0260,,42.753667,46.954778,1.53,G,0.75,170,
IC0262,,42.930292,42.828278,2.10,G,1.74,36,
IC0263,,42.416500,-0.069861,0.65,G,0.44,168,
IC0264,,42.198417,-0.109194,0.50,G,0.37,28,
IC0265,,43.683250,41.655333,0.71,G,0.63,60,
IC0266,,43.770125,42.262333,0.74,G,0.31,136,
IC0267,,43.459375,12.849222,1.86,G,0.69,170,
IC0268,,43.862292,-14.103000,0.97,G,0.55,68,
IC0269,,43.860375,-14.066806,1.19,G,0.35,126,
IC0270,,43.934125,-14.207889,1.80,G,1.43,51,
IC0271,,43.997708,-12.007861,1.06,G,0.61,131,
