name,ra_deg,dec_deg,mag
Tegmine,123.05317,17.6478,5.24
Intercrus,142.16662,45.60148,5.41
La Superba,191.28261,45.44026,5.42
Tianyi,191.8931,66.79031,5.43
Celaeno,56.20089,24.28947,5.45
Polaris Australis,317.19516,-88.9565,5.45
Musica,314.60806,10.83929,5.48
Helvetios,344.36658,20.76883,5.49
Alrakis,256.33381,54.47008,5.55
Nahn,137.33972,22.04545,5.7
Alruba,265.99657,53.80172,5.75
Asterope,56.47699,24.55451,5.76
Merga,222.32779,46.11621,5.76
Tonatiuh,181.313,76.90574,5.8
Piautos,125.1339,24.02231,5.92
Copernicus,133.14921,28.33082,5.95
